Follow ArmA 2 RCon on twitter or facebook in order to stay up to date!
http://twitter.com/solicus
http://www.facebook.com/solicusoftware
Thanks. :)
Connected to 94.242.227.218:2362
(2012-12-02 | 16:02:21) : RCon admin #2 (90.210.114.162:62364) logged in
(2012-12-02 | 16:19:19) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:191 319:6 Sniper1_DZ [13804,2909,42] [15,61,48]
(2012-12-02 | 16:19:19) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:192 319:6 Sniper1_DZ [13804,2909,42] [17,58,51]
(2012-12-02 | 16:19:19) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:193 319:6 Sniper1_DZ [13804,2909,42] [17,56,53]
(2012-12-02 | 16:19:20) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:194 319:6 Sniper1_DZ [13804,2909,42] [19,56,52]
(2012-12-02 | 16:19:20) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:195 319:6 Sniper1_DZ [13804,2909,42] [20,54,54]
(2012-12-02 | 16:19:20) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:196 319:6 Sniper1_DZ [13804,2909,42] [25,53,54]
(2012-12-02 | 16:19:20) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:197 319:6 Sniper1_DZ [13804,2909,42] [39,41,56]
(2012-12-02 | 16:19:20) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:198 319:6 Sniper1_DZ [13804,2908,42] [54,12,57]
(2012-12-02 | 16:19:21) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:199 319:6 Sniper1_DZ [13804,2908,42] [45,-36,55]
(2012-12-02 | 16:19:21) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:200 319:6 Sniper1_DZ [13804,2908,42] [18,-54,55]
(2012-12-02 | 16:19:21) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:201 319:6 Sniper1_DZ [13804,2908,42] [10,-55,57]
(2012-12-02 | 16:19:21) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:202 319:6 Sniper1_DZ [13804,2908,42] [8,-54,57]
(2012-12-02 | 16:19:22) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:203 319:6 Sniper1_DZ [13804,2908,42] [6,-54,58]
(2012-12-02 | 16:19:22) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:204 319:6 Sniper1_DZ [13804,2908,42] [-53,-52,28]
(2012-12-02 | 16:19:22) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:205 319:6 Sniper1_DZ [13803,2909,41] [-41,9,-67]
(2012-12-02 | 16:19:22) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:206 319:6 Sniper1_DZ [13804,2909,41] [-6,12,-78]
(2012-12-02 | 16:19:22) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:207 319:6 Sniper1_DZ [13804,2909,41] [1,14,-78]
(2012-12-02 | 16:19:27) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:208 319:6 Sniper1_DZ [13804,2909,42] [-12,72,32]
(2012-12-02 | 16:19:27) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:142 [12252,9713,9]
(2012-12-02 | 16:19:27) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager1" 313:144 [12237,9707,9]
(2012-12-02 | 16:19:27) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:146 [12252,9436,21]
(2012-12-02 | 16:19:28) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:148 [12249,9444,21]
(2012-12-02 | 16:19:28) : CreateVehicle Log: #19 SET_CAT (c7aab60e0359a500cafd0dcf7877e9ce) - #62 "z_teacher" 323:87 [3644,2505,7]
(2012-12-02 | 16:19:28) : CreateVehicle Log: #19 SET_CAT (c7aab60e0359a500cafd0dcf7877e9ce) - #62 "z_villager2" 323:89 [3617,2500,8]
(2012-12-02 | 16:19:28) : CreateVehicle Log: #19 SET_CAT (c7aab60e0359a500cafd0dcf7877e9ce) - #62 "z_villager1" 323:91 [3607,2475,6]
(2012-12-02 | 16:19:30) : CreateVehicle Log: #14 BNS | Alex (b75b6c6263b8cff0779254c424733932) - #62 "WeaponHolder" 318:21 [13815,2910,40]
(2012-12-02 | 16:19:30) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "WeaponHolder" 327:210 [13079,10060,6]
(2012-12-02 | 16:19:31) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker1" 313:150 [12258,9661,9]
(2012-12-02 | 16:19:32) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker3" 313:152 [12256,9687,9]
(2012-12-02 | 16:19:32) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "zZombie_Base" 313:154 [12259,9689,9]
(2012-12-02 | 16:19:32) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:156 [12223,9684,9]
(2012-12-02 | 16:19:33) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:158 [12224,9652,9]
(2012-12-02 | 16:19:33) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:160 [12249,9720,9]
(2012-12-02 | 16:19:33) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_teacher" 313:162 [12280,9468,18]
(2012-12-02 | 16:19:34) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_teacher" 313:164 [12302,9454,17]
(2012-12-02 | 16:19:34) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:209 319:6 Sniper1_DZ [13804,2909,42] [-18,77,9]
(2012-12-02 | 16:19:35) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:210 319:6 Sniper1_DZ [13804,2909,42] [-12,78,4]
(2012-12-02 | 16:19:36) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:166 [12269,9471,24]
(2012-12-02 | 16:19:36) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:168 [12298,9493,20]
(2012-12-02 | 16:19:37) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:211 319:6 Sniper1_DZ [13804,2909,42] [-11,79,1]
(2012-12-02 | 16:19:38) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:212 319:6 Sniper1_DZ [13804,2909,42] [-11,79,2]
(2012-12-02 | 16:19:39) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:213 319:6 Sniper1_DZ [13804,2909,42] [-10,79,4]
(2012-12-02 | 16:19:39) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:170 [12269,9692,9]
(2012-12-02 | 16:19:39) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:172 [12268,9694,9]
(2012-12-02 | 16:19:39) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:214 319:6 Sniper1_DZ [13804,2909,42] [-15,78,0]
(2012-12-02 | 16:19:40) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:174 [12325,9463,15]
(2012-12-02 | 16:19:42) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:176 [12289,9488,18]
(2012-12-02 | 16:19:42) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager3" 313:178 [12292,9501,17]
(2012-12-02 | 16:19:42) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager1" 313:180 [12301,9527,15]
(2012-12-02 | 16:19:43) : CreateVehicle Log: #19 SET_CAT (c7aab60e0359a500cafd0dcf7877e9ce) - #62 "WeaponHolder" 323:93 [3576,2312,6]
(2012-12-02 | 16:19:43) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:215 319:6 Sniper1_DZ [13804,2909,42] [-16,78,-1]
(2012-12-02 | 16:19:43) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:182 [12323,9545,12]
(2012-12-02 | 16:19:43) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker3" 313:184 [12323,9600,8]
(2012-12-02 | 16:19:44) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:216 319:6 Sniper1_DZ [13804,2909,42] [-15,78,0]
(2012-12-02 | 16:19:44) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:217 319:6 Sniper1_DZ [13804,2909,42] [-14,78,-1]
(2012-12-02 | 16:19:44) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:218 319:6 Sniper1_DZ [13804,2909,42] [-13,78,-1]
(2012-12-02 | 16:19:44) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:186 [12337,9522,13]
(2012-12-02 | 16:19:45) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:188 [12359,9510,11]
(2012-12-02 | 16:19:45) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:190 [12389,9538,8]
(2012-12-02 | 16:19:45) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:219 319:6 Sniper1_DZ [13804,2909,42] [-15,78,-5]
(2012-12-02 | 16:19:45) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:220 319:6 Sniper1_DZ [13804,2909,42] [-15,78,-5]
(2012-12-02 | 16:19:45) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_teacher" 313:192 [12346,9513,12]
(2012-12-02 | 16:19:45) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:221 319:6 Sniper1_DZ [13804,2909,42] [-15,78,-4]
(2012-12-02 | 16:19:46) : Player #19 SET_CAT disconnected
(2012-12-02 | 16:19:46) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:222 319:6 Sniper1_DZ [13804,2909,42] [-14,78,-2]
(2012-12-02 | 16:19:46) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:223 319:6 Sniper1_DZ [13804,2909,42] [-21,77,3]
(2012-12-02 | 16:19:46) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:194 [12304,9613,7]
(2012-12-02 | 16:19:47) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:196 [12338,9597,8]
(2012-12-02 | 16:19:47) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:224 319:6 Sniper1_DZ [13804,2909,42] [-20,77,5]
(2012-12-02 | 16:19:47) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:225 319:6 Sniper1_DZ [13804,2909,42] [-21,76,6]
(2012-12-02 | 16:19:47) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:226 319:6 Sniper1_DZ [13804,2909,42] [-25,75,6]
(2012-12-02 | 16:19:48) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:227 319:6 Sniper1_DZ [13804,2909,42] [-10,79,3]
(2012-12-02 | 16:19:49) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:228 319:6 Sniper1_DZ [13804,2909,42] [-11,78,5]
(2012-12-02 | 16:19:49) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "zZombie_Base" 313:198 [12379,9522,9]
(2012-12-02 | 16:19:49) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:200 [12381,9475,10]
(2012-12-02 | 16:19:49) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "zZombie_Base" 313:202 [12425,9476,7]
(2012-12-02 | 16:19:50) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:229 319:6 Sniper1_DZ [13804,2909,42] [-12,78,3]
(2012-12-02 | 16:19:50) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:230 319:6 Sniper1_DZ [13804,2909,42] [-3,79,-9]
(2012-12-02 | 16:19:51) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:204 [12368,9650,7]
(2012-12-02 | 16:19:51) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_worker2" 313:206 [12365,9627,6]
(2012-12-02 | 16:19:51) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:231 319:6 Sniper1_DZ [13804,2909,42] [-2,79,-7]
(2012-12-02 | 16:19:52) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager1" 313:208 [12375,9545,9]
(2012-12-02 | 16:19:52) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_teacher" 313:210 [12432,9529,6]
(2012-12-02 | 16:19:52) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager1" 313:212 [12399,9532,8]
(2012-12-02 | 16:19:53) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager3" 313:214 [12406,9569,6]
(2012-12-02 | 16:19:53) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:216 [12413,9550,7]
(2012-12-02 | 16:19:54) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:218 [12410,9516,8]
(2012-12-02 | 16:19:55) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_teacher" 313:220 [12443,9558,6]
(2012-12-02 | 16:19:56) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_teacher" 313:222 [12480,9512,5]
(2012-12-02 | 16:19:56) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_villager2" 313:224 [12417,9501,8]
(2012-12-02 | 16:19:56) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "z_hunter" 313:226 [12482,9492,5]
(2012-12-02 | 16:19:57) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "zZombie_Base" 313:228 [12458,9502,6]
(2012-12-02 | 16:20:01) : Player #9 Kongor434 (95.54.50.225:2304) connected
(2012-12-02 | 16:20:02) : Player #9 Kongor434 - GUID: b478491f75320c116eefa1253366954f (unverified)
(2012-12-02 | 16:20:02) : Verified GUID (b478491f75320c116eefa1253366954f) of player #9 Kongor434
(2012-12-02 | 16:20:03) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:232 319:6 Sniper1_DZ [13808,2910,42] [56,53,18]
(2012-12-02 | 16:20:06) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_hunter" 327:211 [13106,10246,6]
(2012-12-02 | 16:20:06) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_villager3" 327:213 [13103,10257,13]
(2012-12-02 | 16:20:07) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_hunter" 327:215 [13147,9858,23]
(2012-12-02 | 16:20:08) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_villager2" 327:217 [13094,9926,6]
(2012-12-02 | 16:20:08) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "WildBoar" 327:219 [12929,10355,7]
(2012-12-02 | 16:20:09) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:233 319:6 Sniper1_DZ [13807,2911,42] [-62,47,14]
(2012-12-02 | 16:20:09) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_hunter" 328:17 [9506,1950,6]
(2012-12-02 | 16:20:09) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_teacher" 328:19 [9500,1934,6]
(2012-12-02 | 16:20:10) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:234 319:6 Sniper1_DZ [13807,2911,42] [-61,47,16]
(2012-12-02 | 16:20:10) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:235 319:6 Sniper1_DZ [13807,2911,42] [-61,47,17]
(2012-12-02 | 16:20:11) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:236 319:6 Sniper1_DZ [13807,2911,42] [-60,47,19]
(2012-12-02 | 16:20:11) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:237 319:6 Sniper1_DZ [13807,2911,42] [-60,47,20]
(2012-12-02 | 16:20:11) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:238 319:6 Sniper1_DZ [13807,2911,42] [-59,47,23]
(2012-12-02 | 16:20:12) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:239 319:6 Sniper1_DZ [13807,2910,42] [-58,47,25]
(2012-12-02 | 16:20:12) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "WildBoar" 313:230 [11582,9788,44]
(2012-12-02 | 16:20:13) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:240 319:6 Sniper1_DZ [13807,2910,42] [-58,47,26]
(2012-12-02 | 16:20:14) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:241 319:6 Sniper1_DZ [13807,2910,42] [-57,47,29]
(2012-12-02 | 16:20:14) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:242 319:6 Sniper1_DZ [13807,2910,42] [-56,48,30]
(2012-12-02 | 16:20:15) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:243 319:6 Sniper1_DZ [13807,2910,42] [-55,48,32]
(2012-12-02 | 16:20:15) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:244 319:6 Sniper1_DZ [13807,2910,42] [-54,48,32]
(2012-12-02 | 16:20:16) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_suit1" 327:221 [13160,10193,6]
(2012-12-02 | 16:20:16) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_worker1" 328:21 [9469,1970,6]
(2012-12-02 | 16:20:16) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_worker2" 328:23 [9528,1976,6]
(2012-12-02 | 16:20:16) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_worker3" 327:223 [13110,10218,6]
(2012-12-02 | 16:20:17) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_worker1" 327:225 [13156,10182,6]
(2012-12-02 | 16:20:20) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "Hen" 244:522 [6108,7673,301]
(2012-12-02 | 16:20:26) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_villager1" 327:227 [12925,10201,5]
(2012-12-02 | 16:20:27) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_teacher" 327:229 [12946,10219,5]
(2012-12-02 | 16:20:27) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "WildBoar" 327:231 [12940,10333,14]
(2012-12-02 | 16:20:30) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "Cow04" 313:232 [12662,9059,5]
(2012-12-02 | 16:20:34) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "WildBoar" 327:233 [12981,10846,26]
(2012-12-02 | 16:20:35) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "zZombie_Base" 328:25 [9534,2003,5]
(2012-12-02 | 16:20:36) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_suit1" 328:27 [9533,2037,6]
(2012-12-02 | 16:20:38) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 313:234 [12231,9521,20]
(2012-12-02 | 16:20:38) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 313:235 [12231,9521,20]
(2012-12-02 | 16:20:38) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 313:236 [12231,9521,20]
(2012-12-02 | 16:20:38) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_worker3" 327:235 [13019,10289,6]
(2012-12-02 | 16:20:39) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_hunter" 327:237 [13039,10311,6]
(2012-12-02 | 16:20:39) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_worker1" 327:239 [13039,10306,6]
(2012-12-02 | 16:20:41) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_worker3" 328:29 [9576,2013,5]
(2012-12-02 | 16:20:41) : CreateVehicle Log: #6 oz0wn (f1eb219f719152c50486cfe688548bbf) - #62 "z_worker2" 328:31 [9585,2011,5]
(2012-12-02 | 16:20:44) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:245 319:6 Sniper1_DZ [13807,2911,42] [-50,58,22]
(2012-12-02 | 16:20:44) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:246 319:6 Sniper1_DZ [13807,2911,42] [-51,55,24]
(2012-12-02 | 16:20:45) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:247 319:6 Sniper1_DZ [13807,2911,42] [-50,56,27]
(2012-12-02 | 16:20:45) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:248 319:6 Sniper1_DZ [13807,2911,42] [-50,55,27]
(2012-12-02 | 16:20:46) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:249 319:6 Sniper1_DZ [13807,2911,42] [-45,59,26]
(2012-12-02 | 16:20:46) : CreateVehicle Log: #15 BNS | Chriss (c7d0b10c1602952d1473e6c0de35fd23) - #62 "G_40mm_HE" 319:250 319:6 Sniper1_DZ [13807,2911,42] [-32,68,25]
(2012-12-02 | 16:20:47) : CreateVehicle Log: #3 Bishops Finger (b546ebf1302742d8c4273002d9e7f0fa) - #62 "z_worker2" 202:1099 [3820,9168,321]
(2012-12-02 | 16:20:48) : CreateVehicle Log: #3 Bishops Finger (b546ebf1302742d8c4273002d9e7f0fa) - #62 "z_worker2" 202:1101 [3868,9187,323]
(2012-12-02 | 16:20:50) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_villager2" 327:241 [13075,10289,5]
(2012-12-02 | 16:20:50) : CreateVehicle Log: #4 euannr (1dfe5bd552add9c137cc1369b7e3be99) - #62 "z_villager1" 327:243 [13081,10275,5]
(2012-12-02 | 16:20:51) : CreateVehicle Log: #8 Adeptus Astartes (c72e6e6220281219b19acff3820f6a75) - #62 "z_villager1" 300:21 [4397,6216,308]
(2012-12-02 | 16:20:51) : CreateVehicle Log: #8 Adeptus Astartes (c72e6e6220281219b19acff3820f6a75) - #62 "z_teacher" 300:23 [4378,6245,310]
(2012-12-02 | 16:20:51) : CreateVehicle Log: #8 Adeptus Astartes (c72e6e6220281219b19acff3820f6a75) - #62 "z_villager3" 300:25 [4378,6218,311]
(2012-12-02 | 16:20:51) : CreateVehicle Log: #8 Adeptus Astartes (c72e6e6220281219b19acff3820f6a75) - #62 "z_villager1" 300:27 [4362,6388,305]
